OG_ID,analysis_paml
OG0009920,paml_selected
OG0009922,paml_selected
OG0009925,paml_selected
OG0009940,paml_selected
OG0009941,paml_selected
OG0009943,paml_selected
OG0009952,paml_selected
OG0009981,paml_selected
OG0009989,paml_selected
OG0009998,paml_selected
OG0010004,paml_selected
OG0010012,paml_selected
OG0010017,paml_selected
OG0010026,paml_selected
OG0010029,paml_selected
OG0010035,paml_selected
OG0010060,paml_selected
OG0010069,paml_selected
OG0010082,paml_selected
OG0010084,paml_selected
OG0010092,paml_selected
OG0010106,paml_selected
OG0010113,paml_selected
OG0010117,paml_selected
OG0010226,paml_selected
OG0010241,paml_selected
OG0010251,paml_selected
OG0010258,paml_selected
OG0010259,paml_selected
OG0010278,paml_selected
OG0010325,paml_selected
OG0010331,paml_selected
OG0010341,paml_selected
OG0010354,paml_selected
OG0010393,paml_selected
OG0010396,paml_selected
OG0010407,paml_selected
OG0010433,paml_selected
OG0010441,paml_selected
OG0010459,paml_selected
OG0010462,paml_selected
OG0010486,paml_selected
OG0010491,paml_selected
OG0010496,paml_selected
OG0010503,paml_selected
OG0010512,paml_selected
OG0010520,paml_selected
OG0010522,paml_selected
OG0010530,paml_selected
OG0010535,paml_selected
OG0010547,paml_selected
OG0010549,paml_selected
OG0010552,paml_selected
OG0010554,paml_selected
OG0010561,paml_selected
OG0010567,paml_selected
OG0010572,paml_selected
OG0010582,paml_selected
OG0010584,paml_selected
OG0010585,paml_selected
OG0010593,paml_selected
OG0010626,paml_selected
OG0010631,paml_selected
OG0010633,paml_selected
OG0010634,paml_selected
OG0010636,paml_selected
OG0010644,paml_selected
OG0010647,paml_selected
OG0010648,paml_selected
OG0010653,paml_selected
OG0010656,paml_selected
OG0010661,paml_selected
OG0010684,paml_selected
OG0010685,paml_selected
OG0010709,paml_selected
OG0010717,paml_selected
OG0010735,paml_selected
OG0010742,paml_selected
OG0010764,paml_selected
OG0010774,paml_selected
OG0010779,paml_selected
OG0010804,paml_selected
OG0010824,paml_selected
