FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0000579,0.272727273,0.2,0,0.2,no
OG0000583,0.272727273,0.2,0,0.2,no
OG0000587,0.272727273,0.2,0,0.2,no
OG0000600,0.272727273,0.2,0,0.2,no
OG0000631,0.272727273,0.2,0,0.2,no
OG0000644,0.272727273,0.2,0,0.2,no
OG0000655,0.272727273,0.2,0,0.2,no
OG0000657,0.272727273,0.2,0,0.2,no
OG0000661,0.272727273,0.2,0,0.2,no
OG0000666,0.272727273,0.2,0,0.2,no
OG0000688,0.272727273,0.2,0,0.2,no
OG0000702,0.272727273,0.2,0,0.2,no
OG0000711,0.272727273,0.2,0,0.2,no
OG0000724,0.272727273,0.2,0,0.2,no
OG0000727,0.272727273,0.2,0,0.2,no
OG0000728,0.272727273,0.2,0,0.2,no
OG0000729,0.272727273,0.2,0,0.2,no
OG0000739,0.272727273,0.2,0,0.2,no
OG0000746,0.272727273,0.2,0,0.2,no
OG0000747,0.272727273,0.2,0,0.2,no
OG0000755,0.272727273,0.2,0,0.2,no
OG0000784,0.272727273,0.2,0,0.2,no
OG0000809,0.272727273,0.2,0,0.2,no
OG0000841,0.272727273,0.2,0,0.2,no
OG0000888,0.272727273,0.2,0,0.2,no
OG0000890,0.272727273,0.2,0,0.2,no
OG0000895,0.272727273,0.2,0,0.2,no
OG0000901,0.272727273,0.2,0,0.2,no
OG0000929,0.272727273,0.2,0,0.2,no
OG0000951,0.272727273,0.2,0,0.2,no
OG0001001,0.272727273,0.2,0,0.2,no
OG0001020,0.272727273,0.2,0,0.2,no
OG0001021,0.272727273,0.2,0,0.2,no
OG0001025,0.272727273,0.2,0,0.2,no
OG0001034,0.272727273,0.2,0,0.2,no
OG0001047,0.272727273,0.2,0,0.2,no
OG0001066,0.272727273,0.2,0,0.2,no
OG0001085,0.272727273,0.2,0,0.2,no
OG0001090,0.272727273,0.2,0,0.2,no
OG0001108,0.272727273,0.2,0,0.2,no
OG0001109,0.272727273,0.2,0,0.2,no
OG0001161,0.272727273,0.2,0,0.2,no
OG0001166,0.272727273,0.2,0,0.2,no
OG0001175,0.272727273,0.2,0,0.2,no
OG0001197,0.272727273,0.2,0,0.2,no
OG0001225,0.272727273,0.2,0,0.2,no
OG0001327,0.272727273,0.2,0,0.2,no
OG0001333,0.272727273,0.2,0,0.2,no
OG0001346,0.272727273,0.2,0,0.2,no
OG0001357,0.272727273,0.2,0,0.2,no
OG0001376,0.272727273,0.2,0,0.2,no
OG0001386,0.272727273,0.2,0,0.2,no
OG0001397,0.272727273,0.2,0,0.2,no
OG0001409,0.272727273,0.2,0,0.2,no
OG0001415,0.272727273,0.2,0,0.2,no
OG0001424,0.272727273,0.2,0,0.2,no
OG0001426,0.272727273,0.2,0,0.2,no
OG0001451,0.272727273,0.2,0,0.2,no
OG0001471,0.272727273,0.2,0,0.2,no
OG0001486,0.272727273,0.2,0,0.2,no
OG0001487,0.272727273,0.2,0,0.2,no
OG0001488,0.272727273,0.2,0,0.2,no
OG0001528,0.272727273,0.2,0,0.2,no
OG0001582,0.272727273,0.2,0,0.2,no
OG0001596,0.272727273,0.2,0,0.2,no
OG0001632,0.272727273,0.2,0,0.2,no
OG0001635,0.272727273,0.2,0,0.2,no
OG0001661,0.272727273,0.2,0,0.2,no
OG0001686,0.272727273,0.2,0,0.2,no
OG0001703,0.272727273,0.2,0,0.2,no
OG0001707,0.272727273,0.2,0,0.2,no
OG0001740,0.272727273,0.2,0,0.2,no
OG0001765,0.272727273,0.2,0,0.2,no
OG0001777,0.272727273,0.2,0,0.2,no
OG0001794,0.272727273,0.2,0,0.2,no
OG0001842,0.272727273,0.2,0,0.2,no
OG0001851,0.272727273,0.2,0,0.2,no
OG0001855,0.272727273,0.2,0,0.2,no
OG0001906,0.272727273,0.2,0,0.2,no
OG0001926,0.272727273,0.2,0,0.2,no
OG0001939,0.272727273,0.2,0,0.2,no
OG0001960,0.272727273,0.2,0,0.2,no
OG0001967,0.272727273,0.2,0,0.2,no
OG0001978,0.272727273,0.2,0,0.2,no
